ts_code,ln_cap,beta,momentum_20d,volatility_60d,turnover_20d,pe_ttm,pb,roe,debt_ratio,eps_growth
000582.SZ,14.95210933247886,1.3495302431606218,0.1326623970722782,0.0272508053605328,2.0989,29.0893,1.5264,0.0,0.0,0.0
000586.SZ,12.739175127275228,2.2294778041627654,-0.1383863080684595,0.0520734080464916,9.5632,0.0,10.7024,0.0,0.0,0.0
000589.SZ,13.510197997676372,1.290640789921114,0.0349344978165939,0.0195281178121563,1.8105,10.0378,0.8017,0.0,0.0,0.0
000590.SZ,12.42925220699601,1.4551944175125986,-0.0611510791366906,0.0219940924963306,1.6552,0.0,4.6229,0.0,0.0,0.0
000591.SZ,14.636445335202453,1.4719224193323803,0.044883303411131,0.0341568846805567,3.4679,31.689,0.95,0.0,0.0,0.0
000592.SZ,14.475951396679928,0.7480936772457342,-0.0915684496826835,0.0397225331436799,4.8308,0.0,10.9235,0.0,0.0,0.0
000593.SZ,13.63204863748274,1.1127553930205054,0.2451716738197425,0.0532165089192953,5.8483,262.9819,9.4131,0.0,0.0,0.0
000595.SZ,13.713428549014171,1.111694520526293,0.1942771084337349,0.0225013344077592,2.1149,82.4604,18.6547,0.0,0.0,0.0
000596.SZ,15.399904676150944,0.7310684190868096,-0.1236819606725562,0.0208342537972063,0.8862,17.2544,1.8666,0.0,0.0,0.0
000597.SZ,13.428810795390936,1.04276733947166,-0.081081081081081,0.0186325581813604,0.7524,27.1305,1.2227,0.0,0.0,0.0
000598.SZ,14.490228324522931,0.9646786940921236,-0.0380116959064327,0.0152374490841241,0.5441,9.698,0.9695,0.0,0.0,0.0
000599.SZ,14.046151566731483,1.6185005948589142,0.0451977401129943,0.025596433594839,1.7356,0.0,1.2333,0.0,0.0,0.0
000600.SZ,14.418009258687658,1.6009918504548502,0.0696937697993664,0.0341477439290492,5.5609,8.9798,1.4638,0.0,0.0,0.0
000601.SZ,13.567260274464632,2.085856242829286,0.030942334739803,0.0538273526366642,8.7229,78.3643,1.8874,0.0,0.0,0.0
000603.SZ,14.63983936131944,2.743712296911291,-0.1952763574385196,0.0375799030596523,2.0738,37.7806,6.3787,0.0,0.0,0.0
000605.SZ,12.38759741830937,1.6793313417692923,0.0089020771513352,0.0229925931080387,1.7304,263.6261,1.1184,0.0,0.0,0.0
000607.SZ,12.865472734381434,1.3903158162310714,-0.0570719602977668,0.0222600161695723,1.6583,0.0,3.2534,0.0,0.0,0.0
000608.SZ,12.580966388317783,0.7465673466043296,-0.0372208436724566,0.0273268336480973,3.9631,0.0,1.4169,0.0,0.0,0.0
000609.SZ,12.951259122773749,1.32695089075451,0.3736585365853658,0.0392580712689414,3.5264,0.0,0.0,0.0,0.0,0.0
